City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,gisborne,-38.6533,178.0042,61.79,96,100,5.41,NZ,1698728461
286,iskateley,67.6803,53.1512,13.01,97,87,5.99,RU,1698728461
287,as sulayyil,20.4607,45.5779,75.45,30,100,11.83,SA,1698728462
288,san luis de la loma,17.2706,-100.8939,77.83,97,63,3.6,MX,1698728462
289,taulaga,-11.0553,-171.0883,83.05,79,47,20.71,AS,1698728463
290,jabor,5.921,169.6434,83.1,74,65,11.45,MH,1698728463
291,hithadhoo,-0.6,73.0833,80.92,79,69,9.8,MV,1698728464
292,acarau,-2.8856,-40.12,80.17,73,58,16.28,BR,1698728464
293,curuan,7.2053,122.2331,89.53,78,79,3.11,PH,1698728465
294,ingeniero jacobacci,-41.3427,-69.5448,38.88,70,94,1.16,AR,1698728466
295,new norfolk,-42.7826,147.0587,60.71,51,95,11.14,AU,1698728466
296,east porterville,36.0574,-118.9757,51.62,58,0,0.0,US,1698728466
297,hiratacho,35.4333,132.8167,69.82,49,20,3.44,JP,1698728467
298,polyarnyy,69.1989,33.4478,20.66,95,100,8.16,RU,1698728467
299,lata,40.1629,-8.3327,51.08,92,100,3.44,PT,1698728468
300,van,38.4924,43.3831,54.86,57,100,6.42,TR,1698728468
301,belel,7.05,14.4333,63.45,84,99,2.82,CM,1698728469
302,ocean city,39.2776,-74.5746,53.85,73,100,11.01,US,1698728237
303,hegang,47.4,130.3667,36.09,92,100,6.6,CN,1698728469
304,ajdabiya,30.7554,20.2263,66.13,67,1,6.51,LY,1698728470
305,brokopondo,4.75,-55.1667,78.69,81,12,10.4,SR,1698728470
306,mariinsk,56.2139,87.7472,25.72,66,100,11.79,RU,1698728471
307,mogadishu,2.0371,45.3438,80.47,89,40,1.14,SO,1698728472
308,warmbad,-28.45,18.7333,60.55,61,0,17.96,NA,1698728472
309,avarua,-21.2078,-159.775,75.25,69,75,14.97,CK,1698728473
310,derzhavinsk,51.1,66.3167,35.01,73,90,17.38,KZ,1698728474
311,ancud,-41.8697,-73.8203,39.78,92,12,6.73,CL,1698728474
312,taroa,8.7058,171.2275,82.74,79,66,17.09,MH,1698728475
313,broken hill,-31.95,141.4333,71.4,24,67,7.94,AU,1698728228
314,quepos,9.4236,-84.1652,77.31,86,100,1.99,CR,1698728475
315,tingi,-11.3,35.0333,69.94,60,98,8.5,TZ,1698728476
316,montescaglioso,40.5522,16.6669,68.99,92,100,3.58,IT,1698728476
317,henryetta,35.4398,-95.9819,34.77,68,0,2.39,US,1698728477
318,ghanzi,-21.5667,21.7833,66.42,73,3,16.58,BW,1698728477
319,tukrah,32.5341,20.5791,67.06,85,3,4.14,LY,1698728477
320,ojinaga,29.5667,-104.4167,48.58,47,69,3.76,MX,1698728478
321,ain sefra,32.75,-0.5833,59.2,62,96,1.28,DZ,1698728478
322,orkney,-26.9802,26.6727,47.98,84,100,8.03,ZA,1698728479
323,esquel,-42.9,-71.3167,28.71,91,45,2.77,AR,1698728479
324,quintanar del rey,39.3382,-1.9389,43.81,81,100,5.17,ES,1698728479
325,simanggang,1.2472,111.4528,85.98,79,40,1.14,MY,1698728479
326,inari,68.906,27.0288,19.6,94,97,4.03,FI,1698728480
327,atafu village,-8.5421,-172.5159,84.45,74,27,13.98,TK,1698728480
328,revda,56.801,59.9303,25.34,90,97,4.68,RU,1698728481
329,lerwick,60.1545,-1.1494,41.0,58,50,20.51,GB,1698728481
330,talara,-4.5772,-81.2719,69.51,83,94,15.86,PE,1698728481
331,ust-nera,64.5667,143.2,9.57,98,100,4.72,RU,1698728482
332,shingu,33.7333,135.9833,68.13,56,31,4.88,JP,1698728482
333,port alfred,-33.5906,26.891,59.18,84,16,3.0,ZA,1698728482
334,calama,-22.4667,-68.9333,46.89,42,0,14.97,CL,1698728473
335,nizhnyaya poyma,56.1622,97.1933,24.26,51,88,10.16,RU,1698728483
336,coyhaique,-45.5752,-72.0662,39.81,81,40,0.0,CL,1698728483
337,shangzhi,45.2167,127.9667,42.69,87,100,2.62,CN,1698728484
338,kargasok,59.0556,80.8572,12.96,93,6,8.01,RU,1698728484
339,port lincoln,-34.7333,135.8667,60.24,50,20,12.71,AU,1698728484
340,hovd,48.0056,91.6419,50.72,40,85,2.17,MN,1698728485
341,nema,57.5067,50.5011,26.73,95,99,5.59,RU,1698728485
342,miahuatlan de porfirio diaz,16.3333,-96.6,59.92,90,48,5.84,MX,1698728486
343,anna regina,7.2644,-58.5077,81.79,81,3,8.46,GY,1698728486
344,kerteminde,55.449,10.6577,49.96,95,100,23.17,DK,1698728486
345,myeik,12.4333,98.6,86.65,65,83,8.05,MM,1698728486
346,vrangel',42.7297,133.0839,56.79,86,77,5.5,RU,1698728487
347,vorgashor,67.5833,63.95,14.14,94,100,10.89,RU,1698728487
348,ouadda,8.0777,22.4007,70.47,77,70,4.36,CF,1698728488
349,robbah,33.2797,6.9098,65.84,17,49,9.28,DZ,1698728488
350,sao lourenco do sul,-31.3653,-51.9783,64.87,96,78,6.64,BR,1698728488
351,maslova pristan',50.4587,36.7408,51.15,81,90,7.85,RU,1698728488
352,fasa,28.9383,53.6482,60.04,48,40,0.0,IR,1698728488
353,gore,-46.1028,168.9436,64.09,64,100,1.45,NZ,1698728417
354,enriquillo,17.9,-71.2333,79.92,86,100,3.6,DO,1698728489
355,dudinka,69.4058,86.1778,4.62,97,98,1.99,RU,1698728489
356,qaqortoq,60.7167,-46.0333,36.97,88,100,12.77,GL,1698728490
357,khash,28.2211,61.2158,73.35,24,10,8.93,IR,1698728490
358,carnarvon,-24.8667,113.6333,79.07,49,0,16.44,AU,1698728490
359,ahtari,62.554,24.0619,25.56,93,100,7.25,FI,1698728491
360,oakdale,44.963,-92.9649,31.75,93,100,11.5,US,1698728491
361,prado,-17.3411,-39.2208,74.26,80,76,9.17,BR,1698728491
362,sandnessjoen,66.0217,12.6316,26.71,74,0,6.91,NO,1698728491
363,waddan,29.1614,16.139,67.12,52,38,6.69,LY,1698728492
364,morondava,-20.2833,44.2833,77.88,66,4,6.26,MG,1698728492
365,kotido,2.9806,34.1331,69.94,78,69,11.92,UG,1698728492
366,rio grande,-32.035,-52.0986,65.95,96,67,8.95,BR,1698728493
367,la mira tumbiscatio,18.6833,-102.2833,73.08,92,22,4.14,MX,1698728493
368,blackwater,-23.5833,148.8833,95.7,14,16,1.61,AU,1698728493
369,new bern,35.1085,-77.0441,71.01,91,19,5.37,US,1698728494
370,mugia,43.1041,-9.2179,55.9,77,47,18.03,ES,1698728494
371,monte alegre,-2.0078,-54.0692,78.94,65,97,3.29,BR,1698728494
372,island harbour,50.724,-1.2758,52.99,94,100,8.61,GB,1698728495
373,santa maria del oro,25.9333,-105.3667,48.6,75,100,2.51,MX,1698728495
374,mount isa,-20.7333,139.5,101.97,19,40,8.05,AU,1698728495
375,at tall al kabir,30.5445,31.7853,72.93,76,95,5.44,EG,1698728495
376,villa la angostura,-40.7617,-71.6463,31.6,97,96,1.79,AR,1698728496
377,montelibano,7.9829,-75.4229,74.44,89,100,3.02,CO,1698728496
378,bondoukou,8.0333,-2.8,72.43,92,3,3.22,CI,1698728496
379,susuman,62.7833,148.1667,7.99,94,72,1.01,RU,1698728497
380,childress,34.4264,-100.204,32.92,38,0,3.31,US,1698728497
381,kokpekty,48.75,82.4,46.31,98,100,11.43,KZ,1698728497
382,gulf shores,30.246,-87.7008,59.05,71,40,12.66,US,1698728498
383,nova olimpia,-14.7972,-57.2881,73.49,92,77,2.44,BR,1698728498
384,elko,41.0002,-115.5012,37.63,32,0,5.01,US,1698728498
385,los andes,-32.8337,-70.5983,53.01,69,100,1.34,CL,1698728499
386,kristiansund,63.1115,7.732,27.25,74,0,0.0,NO,1698728499
387,koryazhma,61.3143,47.1691,27.91,82,100,1.54,RU,1698728499
388,ponta delgada,37.7333,-25.6667,67.19,77,75,12.66,PT,1698728500
389,koupela,12.1794,-0.3517,80.28,26,5,6.6,BF,1698728500
390,turochak,52.2576,87.1224,39.58,99,100,1.28,RU,1698728500
391,amahai,-3.3333,128.9167,85.86,67,70,8.97,ID,1698728501
392,itoman,26.1247,127.6694,81.37,67,40,18.41,JP,1698728501
393,gamba,-2.65,10.0,77.07,91,100,4.72,GA,1698728501
394,khabary,53.6259,79.5345,29.71,96,100,6.13,RU,1698728502
395,murray bridge,-35.1167,139.2667,66.34,39,10,17.09,AU,1698728502
396,saint-paul,-21.0096,55.2707,82.99,75,1,1.01,RE,1698728382
397,bokhan,53.153,103.7714,30.49,42,98,3.85,RU,1698728503
398,pochep,52.9336,33.4464,47.57,94,100,5.5,RU,1698728503
399,shubarshi,48.5872,57.1869,39.56,72,98,10.83,KZ,1698728503
400,nykobing sjaelland,55.9249,11.6711,48.52,93,100,20.04,DK,1698728504
401,beruwala,6.4788,79.9828,82.42,75,54,3.56,LK,1698728505
402,zarzis,33.504,11.1122,78.39,36,97,8.55,TN,1698728505
403,nadi,-17.8,177.4167,89.6,58,40,13.8,FJ,1698728505
404,lesparre-medoc,45.3,-0.9333,57.79,83,39,15.01,FR,1698728506
405,angra do heroismo,38.65,-27.2167,67.12,89,20,13.0,PT,1698728506
406,tralee,52.2704,-9.7026,48.92,88,78,4.16,IE,1698728507
407,benguela,-12.5763,13.4055,74.73,83,24,3.18,AO,1698728507
408,venice,27.0998,-82.4543,75.22,92,0,6.91,US,1698728507
409,alta sierra,35.7291,-118.5495,36.1,22,0,6.13,US,1698728507
410,hamilton,39.1834,-84.5333,36.73,83,9,4.0,US,1698728508
411,pilibhit,28.6333,79.8,80.19,47,16,2.68,IN,1698728508
412,yangambi,0.8102,24.4336,72.01,96,100,1.41,CD,1698728508
413,klaksvik,62.2266,-6.589,38.32,63,85,18.45,FO,1698728508
414,sanming,26.2486,117.6186,79.57,45,12,4.56,CN,1698728509
415,callao,-12.0667,-77.15,68.72,82,75,11.5,PE,1698728242
416,zouerate,22.7187,-12.4521,77.09,19,0,5.46,MR,1698728509
417,nuku'alofa,-21.1333,-175.2,80.94,78,20,14.97,TO,1698728509
418,chimoio,-19.1164,33.4833,57.06,100,100,7.25,MZ,1698728509
419,jati,24.3539,68.2671,92.16,22,0,8.46,PK,1698728510
420,gagliano del capo,39.8442,18.3695,69.82,81,96,22.82,IT,1698728510
421,las palmas de gran canaria,28.0997,-15.4134,69.93,73,20,5.75,ES,1698728398
422,kangding,30.0513,101.9603,60.73,56,34,1.21,CN,1698728510
423,baikunthpur,23.25,82.55,77.25,48,87,4.18,IN,1698728510
424,ed damer,17.5928,33.9592,82.22,52,22,11.59,SD,1698728511
425,khorramabad,33.4878,48.3558,60.42,44,100,4.61,IR,1698728511
426,sitka,57.0531,-135.33,46.29,87,100,4.61,US,1698728511
427,carbonear,47.7332,-53.2148,35.35,92,100,3.18,CA,1698728511
428,chibougamau,49.9168,-74.3659,19.02,93,0,4.61,CA,1698728261
429,siwa oasis,29.2041,25.5195,69.44,78,1,5.64,EG,1698728512
430,quiberon,47.4841,-3.1196,59.07,83,28,15.01,FR,1698728512
431,waldkappel,51.15,9.8833,52.11,85,100,15.26,DE,1698728512
432,gretna,29.9147,-90.054,57.2,75,100,20.71,US,1698728406
433,vadso,70.0744,29.7487,32.16,80,40,9.22,NO,1698728513
434,petropavlovsk-kamchatsky,53.0452,158.6483,41.59,62,0,11.99,RU,1698728513
435,kashgar,39.4547,75.9797,63.61,23,0,4.47,CN,1698728513
436,san antonio de pale,-1.4014,5.6325,79.52,85,100,13.76,GQ,1698728513
437,abeche,13.8292,20.8324,78.22,23,98,8.93,TD,1698728513
